(58020) wsgi starting up on http://0.0.0.0:5001
Received dot event: {'event_type': 'dot_appeared', 'position': [2, 2], 'timestamp': '2025-12-17T22:07:26.276055'}
Received dot event: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-17T22:07:27.538856'}
Received dot event: {'event_type': 'dot_appeared', 'position': [4, 4], 'timestamp': '2025-12-17T22:07:29.143979'}
Received dot event: {'event_type': 'dot_appeared', 'position': [0, 1], 'timestamp': '2025-12-17T22:07:31.106808'}
Received dot event: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-17T22:07:31.717785'}
Received dot event: {'event_type': 'dot_appeared', 'position': [2, 3], 'timestamp': '2025-12-17T22:07:32.339156'}
Received dot event: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-17T22:07:33.038218'}
Received dot event: {'event_type': 'dot_appeared', 'position': [1, 3], 'timestamp': '2025-12-17T22:07:33.590024'}
Received dot event: {'event_type': 'dot_appeared', 'position': [2, 2], 'timestamp': '2025-12-17T22:07:34.240514'}
Received dot event: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-17T22:07:35.674743'}
Received dot event: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-17T22:07:36.463246'}
Received dot event: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-17T22:07:38.068038'}
Received dot event: {'event_type': 'dot_appeared', 'position': [4, 0], 'timestamp': '2025-12-17T22:07:39.176371'}
Received dot event: {'event_type': 'dot_appeared', 'position': [4, 4], 'timestamp': '2025-12-17T22:07:40.242036'}
Received dot event: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-17T22:07:41.573068'}
Received dot event: {'event_type': 'dot_appeared', 'position': [1, 4], 'timestamp': '2025-12-17T22:07:42.167527'}
Received dot event: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-17T22:07:42.866081'}
Received dot event: {'event_type': 'dot_appeared', 'position': [0, 2], 'timestamp': '2025-12-17T22:07:43.871097'}
